LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID109539,109539,6,18.935407638549805,9.679076246170313,5.592355164453958,0.0,159.9662322998047,32,0.65,1,,299.25581395348837,246.0,165.0,795.0,38604.0,140.3325447302411,0.31286098896119297,1.016358355456263
ID109282,109282,6,22.29334831237793,9.786621537794426,5.592355164453958,0.0,29.99366855621338,6,0.65,1,,324.8217054263566,254.0,172.0,1001.0,41902.0,179.7645356436964,0.34437367339842523,0.9257228093538418
ID109477,109477,6,8.460197448730469,9.14134978804974,5.592355164453958,0.0,124.97361898422241,25,0.65,1,,214.13178294573643,213.0,138.0,328.0,27623.0,45.67760321073687,0.19993472492476755,1.5622064591767033
ID109414,109414,6,13.802412986755371,9.248895079673854,5.699900456078073,0.0,79.98311614990234,16,0.65,1,,251.28682170542635,228.0,130.0,570.0,32416.0,98.73854314856369,0.2590388710851934,1.0472220888652857
ID109547,109547,6,22.234365463256836,9.679076246170313,5.699900456078073,0.0,164.96517705917358,33,0.65,1,,318.8139534883721,243.0,143.0,975.0,41127.0,179.23456032885807,0.34122521379046916,0.9050758295964105
ID109357,109357,6,21.299943923950195,9.786621537794426,5.377264581205729,0.0,59.98733711242676,12,0.65,1,,312.06201550387595,241.0,142.0,1010.0,40256.0,184.89286390780748,0.3138620693845629,0.8063801233120343
ID109292,109292,6,22.686159133911133,9.786621537794426,5.592355164453958,0.0,4.9989447593688965,1,0.65,1,,327.1240310077519,249.0,174.0,1071.0,42199.0,193.3799695447386,0.3277224228546181,0.8350833495840381
ID109487,109487,6,8.743046760559082,9.248895079673854,5.592355164453958,0.0,119.97467422485352,24,0.65,1,,215.32558139534885,213.0,132.0,320.0,27777.0,47.56741314812748,0.20114781321020256,1.5161247966598155
ID109424,109424,6,11.439384460449219,9.571530954546198,5.484809872829843,0.0,104.97783994674683,21,0.65,1,,241.53488372093022,216.0,154.0,479.0,31158.0,72.87018064163273,0.2258410216471904,1.2213178133324158
ID109554,109554,6,20.180028915405273,9.786621537794426,5.592355164453958,0.0,169.96412181854248,34,0.65,1,,308.031007751938,244.0,154.0,908.0,39736.0,162.84875738244904,0.31737007515561105,0.9113772093529395
ID109301,109301,6,24.459959030151367,9.894166829418541,5.484809872829843,0.0,14.99683427810669,3,0.65,1,,341.3178294573643,260.0,164.0,1070.0,44030.0,203.80164163409464,0.34761254796133395,0.8639959202110529
ID109367,109367,6,18.82123565673828,9.571530954546198,5.592355164453958,0.0,64.98628187179565,13,0.65,1,,292.91472868217056,240.0,164.0,676.0,37786.0,129.54324995728695,0.31077589756092056,1.0721987576094536
ID109495,109495,6,10.22225284576416,9.248895079673854,5.592355164453958,0.0,129.9725637435913,26,0.65,1,,225.37209302325581,219.0,137.0,368.0,29073.0,59.719666694618105,0.2226136565526963,1.374280294095453
ID109433,109433,6,11.837783813476562,9.35644037129797,5.592355164453958,0.0,99.97889518737793,20,0.65,1,,239.03100775193798,218.0,142.0,428.0,30835.0,69.37476779065824,0.2437845423889113,1.3506527445344891
ID109561,109561,6,18.363731384277344,9.679076246170313,5.377264581205729,0.0,179.96201133728027,36,0.65,1,,293.09302325581393,247.0,141.0,736.0,37809.0,136.97179464791196,0.3046328826553157,0.9992928726769627
ID109310,109310,6,18.807254791259766,9.679076246170313,5.592355164453958,0.0,19.995779037475586,4,0.65,1,,300.95348837209303,250.0,156.0,821.0,38823.0,144.48096005968205,0.3097390153464096,0.9852124858535134
ID109380,109380,7,5.870250225067139,15.4865219938725,12.90543499489375,0.0,54.98839235305786,11,0.65,1,,163.51937984496124,145.0,116.0,283.0,21094.0,44.04225612536673,0.13513942101956317,0.8840208673950697
ID109444,109444,7,6.918032646179199,15.701612577120729,12.69034441164552,0.0,89.98100566864014,18,0.65,1,,168.96899224806202,143.0,109.0,360.0,21797.0,57.799348231686416,0.14913352341439243,0.7587852019472993
ID109572,109572,7,9.447230339050293,15.056340827376042,13.443161453014323,0.0,174.96306657791138,35,0.65,1,,184.3798449612403,151.0,110.0,420.0,23785.0,74.87867205086354,0.19849474540550052,0.8156393833470258
ID109257,109257,7,6.756451606750488,16.2393390352413,12.367708536773177,0.0,0.0,0,0.65,1,,180.9922480620155,163.0,126.0,316.0,23348.0,47.936725242114576,0.1593065908625409,1.0376647092762752
ID109322,109322,7,5.549853801727295,14.733704952503697,13.443161453014323,0.0,24.994723796844482,5,0.65,1,,156.10852713178295,140.0,112.0,298.0,20138.0,44.075262391107344,0.13785688728423112,0.8582277265307409
ID109514,109514,7,10.403531074523926,15.4865219938725,12.69034441164552,0.0,139.9704532623291,28,0.65,1,,189.6046511627907,150.0,109.0,481.0,24459.0,89.40405284827793,0.21602239158538444,0.7534925690112114
ID109389,109389,7,5.91080904006958,17.099701368234218,12.260163245149062,0.0,69.98522663116455,14,0.65,1,,186.86046511627907,171.0,139.0,327.0,24105.0,42.72856629828547,0.11887562843149055,0.9292661382538215
ID109453,109453,7,7.474649429321289,15.163886119000155,12.90543499489375,0.0,94.97995042800903,19,0.65,1,,168.36434108527132,145.0,115.0,343.0,21719.0,58.1333244018244,0.17347736732547814,0.8562943064843952
ID109265,109265,7,6.061678409576416,14.733704952503697,13.228070869766093,0.0,9.997889518737793,2,0.65,1,,162.67441860465115,145.0,117.0,260.0,20985.0,40.75769919419705,0.15583860834591656,1.076260653412908
ID109521,109521,7,7.842609882354736,15.378976702248385,12.90543499489375,0.0,144.969398021698,29,0.65,1,,175.84496124031008,151.0,116.0,354.0,22684.0,60.34593627738158,0.17185608367935365,0.8546780015469733
ID109332,109332,7,7.0712785720825195,15.163886119000155,13.12052557814198,0.0,39.99155807495117,8,0.65,1,,164.65891472868216,138.0,113.0,371.0,21241.0,61.34170381508803,0.1657515021431037,0.7633274825044284
